Car Name,Car Link,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Options,Engine (cc)
Mitsubishi Aqua G Great 2014 Car,https://riyasewana.com/buy/mitsubishi-aqua-g-sale-kadawatha-7524966,"Rs. 6,890,000",Mitsubishi,Aqua G Great,2014,180000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Suzuki Wagon R Fz 2014 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-homagama-7524962,"Rs. 4,790,000",Suzuki,Wagon R Fz,2014,87310,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",658
BMW 318i M SPORT AUS SPEC 2018 Car,https://riyasewana.com/buy/bmw-318i-m-sale-negombo-7524958,"Rs. 19,875,000",BMW,318i M SPORT AUS SPEC,2018,26000,Automatic,Petrol,-,1500
Suzuki Maruti 2010 Car,https://riyasewana.com/buy/suzuki-maruti-sale-kiribathgoda-7524954,"Rs. 1,645,000",Suzuki,Maruti,2010,77000,Manual,Petrol,AIR CONDITION,800
Toyota Corolla 1997 Car,https://riyasewana.com/buy/toyota-corolla-sale-kandy-7524953,"Rs. 2,700,000",Toyota,Corolla,1997,-,Automatic,Diesel,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1998
Suzuki SWIFT 2004 Car,https://riyasewana.com/buy/suzuki-swift-sale-malabe-7524950,"Rs. 3,690,000",Suzuki,SWIFT,2004,142690,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1350
Toyota Wigo G Grade 2017 Car,https://riyasewana.com/buy/toyota-wigo-g-sale-negombo-7524949,"Rs. 5,750,000",Toyota,Wigo G Grade,2017,60000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Toyota Aqua S Limited 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-negombo-7524948,Negotiable,Toyota,Aqua s limited,2013,140000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Honda FIT GP5 2016 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-maharagama-7524947,"Rs. 9,275,000",Honda,FIT GP5,2016,118000,Automatic,Hybrid,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Mini Mini 1996 Car,https://riyasewana.com/buy/mini-mini-sale-kelaniya-7524944,"Rs. 2,650,000",Mini,Mini,1996,99999,Automatic,Petrol,AIR CONDITION,1300
Suzuki Alto S24 2007 Car,https://riyasewana.com/buy/suzuki-alto-s24-sale-beruwala-7524942,"Rs. 3,675,000",Suzuki,Alto S24,2007,115000,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",650
Toyota Vitz 2018 Car,https://riyasewana.com/buy/toyota-vitz-sale-colombo-7524941,Negotiable,Toyota,Vitz,2018,60000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Mitsubishi Lancer CS3 2007 Car,https://riyasewana.com/buy/mitsubishi-lancer-cs3-sale-pannipitiya-7524940,"Rs. 4,950,000",Mitsubishi,Lancer CS3,2007,77000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1600
Toyota Aqua S Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-rajagiriya-7524935,Negotiable,Toyota,Aqua S Grade,2013,104000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Honda Fit Aria GD8 2003 Car,https://riyasewana.com/buy/honda-fit-aria-sale-ampara-7524932,Negotiable,Honda,Fit Aria GD8,2003,225000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Subaru Subaru 1989 Car,https://riyasewana.com/buy/subaru-subaru-sale-nuwara-eliya-7524928,Negotiable,Subaru,Subaru,1989,12542000,Manual,Petrol,-,1190
Suzuki Alto 2015 Car,https://riyasewana.com/buy/suzuki-alto-sale-ratnapura-7524927,"Rs. 2,790,000",Suzuki,Alto,2015,78542,Manual,Petrol,POWER STEERING,800
Perodua Viva Elite Premium 2011 Car,https://riyasewana.com/buy/perodua-viva-elite-sale-kandy-7524923,"Rs. 3,885,000",Perodua,Viva Elite Premium,2011,128000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Mitsubishi C12 1985 Car,https://riyasewana.com/buy/mitsubishi-c12-sale-nuwara-eliya-7524921,"Rs. 675,000",Mitsubishi,C12,1985,11111,Manual,Petrol,-,1400
Toyota Passo 2008 Car,https://riyasewana.com/buy/toyota-passo-sale-kelaniya-7524920,"Rs. 4,290,000",Toyota,Passo,2008,119000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Mazda Dimio 1999 Car,https://riyasewana.com/buy/mazda-dimio-sale-tangalle-7524918,"Rs. 2,260,000",Mazda,Dimio,1999,260000,Manual,Petrol,"AIR CONDITION, POWER STEERING",1300
Mazda FAMILIA 1994 Car,https://riyasewana.com/buy/mazda-familia-sale-kurunegala-7524915,"Rs. 1,825,000",Mazda,FAMILIA,1994,-,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
